"Actores","Frecuencia"
"50 Cent|Forest Whitaker|Robert De Niro|Ryan O'Nan|Matt Gerald|Beau Garrett|Malcolm Goodwin|Robert Wisdom|Dana Delany|Vinnie Jones|Anabelle Acosta|Pedro Armend�riz Jr.|Michael McGrady|Andre Royo|Roger Edwards|LaJessie Smith|Dominique DuVernay|Cassie Shea Watson|Raeden Greer|Jeff Chase|Danny A. Abeckaser|Douglas M. Griffin|Ambyr Childers|Hilary Cruz|Amin Joseph|Shantel Jackson|Phil Laak|Antonio Esfandiari|Jesse Pruett|Javier Carrasquillo|Craig Leydecker|John L. Armijo|Candice Michele Barley|Met Salih|Brian Oerly|Edgar Leza",1
"50 Cent|Joy Bryant|Adewale Akinnuoye-Agbaje|Omar Benson Miller|Terrence Howard|Viola Davis|Ashley Walters|Tory Kittles|Marc John Jefferies|Sullivan Walker|Bill Duke|Mpho Koaho|Serena Reeder|Russell Hornsby|Vanessa Madden|Joseph Pierre|Ryan Allen|Brendan Jeffers|Anastasia Hill|Zainab Musa|Lawrence Bayne|Boyd Banks|Lenno Britos|Mykelti Williamson|Leon",1
"50 Cent|Ryan Phillippe|Bruce Willis|James Remar|Randy Couture|Will Yun Lee|Shaun Toub|Susie Abromeit|Jay Karnes|Jordan Trovillion|Ambyr Childers|Omar J. Dorsey|Theo Kypri|Richard Goteri|Jenna Dewan|Rory Markham|Brett Granstaff|Ralph Lister|Alex Safi|Rich Komenich",1
"50 Cent|Val Kilmer|Luke Goss|Vinnie Jones|AnnaLynne McCord|Tamer Hassan|Ed Quinn|Ryan Donowho|Stephanie Honor�|Laura Bach|Franklin Lashley|Shaun Grant|Damon Lipari|Isabella Anais Hewitt|Cherie Thibodeaux",1
"6.123",1
"6.123|3.984|5.711|2.89|7.343|14.313|9.365|2.04|0.6|4.647|8.609|2.764|1.4|3.405|6.9|1.67|7.458|13.613",1
"8.292|4.402|3.325|0.608|0.6|3.973|0.98|0.6|1.342|0.6|3.649|0.6|3.223|1.551|2.423|26.075|30.587|29.907|27.76|25.898|16.88|17.355|25.615|9.406|10.9|13.79|15.535|17.858|21.814",1
"8.327|1.261|9.716|2.626|1.4|1.181|1.9|0.6",1
"8.77|3.136",1
"9.361|2.823|5.866|2.921|11.283|3.391|1.021|3.64|4.205",1
"9.691|0.84|5.351",1
"A.J. Cook|Ali Larter|Michael Landes|Terrence 'T.C.' Carson|Jonathan Cherry|Keegan Connor Tracy|Lynda Boyd|James Kirk|Justina Machado|David Paetkau|Tony Todd|Sarah Carter|Alejandro Rae|Shaun Sipos|Andrew Airlie|Noel Fisher|Christina Jastrzembska|Eileen Pedde|Jill Krop|Marrett Green|Benita Ha|Aaron Douglas|Eric Keenleyside|Enid-Raye Adams|Fred Henderson|Darcy Laurie|John R. Taylor|Alf Humphreys|Chilton Crane|Don Bell|Odessa Munroe|Alison Matthews|John Stewart|Rheta Hutton",1
"A.J. Cook|Sebastian Roch�|Simon Quarterman|Vik Sahay|Brian Scott O'Connor|Stephanie Lemelin|Oaklee Pendergast|Angelina Armani|Corneliu Ulici|Brian D. Johnson|Sarah-Jane Mee|Ozana Oancea|Alexandra Pirici|Constantin Florescu|Ionu<U+021B> Grama|Rudy Rosenfeld|Collin Blair|Camelia Maxim|Gelu Ni<U+021B>u|Alin Olteanu|Alexandru Nedelcu|Lucy Kite|Dominic Reynolds|Dominique Schwoebel|Horatiu Bob|Olimpia Malai|Adrian Ciobanu|Sibylla Oarcea|Clare Fernyhough|Mihai Stanescu|Charlie Angela|Silviu Dudescu|Ioan Brancu|Vasile Nistor|Andreea Esca|Geo Dinescu|Daniel Popa",1
"Aamir Khan|Fatima Sana Shaikh|Sanya Malhotra|Sakshi Tanwar|Aparshakti Khurana|Zaira Wasim|Suhani Bhatnagar|Girish Kulkarni|Vivan Bhatena|Ritwik Sahore|Ravi Aneja|Anurag Arora|Mahesh Balraj|Anmol Charan|Karamveer Choudhary|Ishika Gagneja|Badrul Islam|Jagbir|Olamilekan Akanbi Jason|Hafiz Khan|Sumit Khanna|Meenu Prajapati|Ansh Rathore|Shishir Sharma|Gurpreet Toti",1
"Aamir Khan|R. Madhavan|Sharman Joshi|Kareena Kapoor Khan|Boman Irani|Omi Vaidya|Ali Fazal|Mona Singh|Javed Jaffrey|Parikshat Sahni|Amardeep Jha|Jayant Kripalani|Arun Bali|Achyut Potdar|Aakash Dabhade|Akhil Mishra|Atul Tiwari|Rakesh Sharma|Pitobash Tripathy|Pooja Goswami|R.S. Kodange|Annapurna Kaul|Dharmendra Bhurji|Harvinder Singh|Rahul Kumar|Mukund Bhatt|Chaitali Bose|Olivier Lafont|Meghna Bhalla|Praful Kulkarni|Bharat Jha|Komal Jha|Rohitash Gaud|Freny Bhagat|Jigmet Dorjey|Tsanwal Namgyal|Malvika Singh|Supriya Shukla|Pundit Prayag Raj|Sitaram Sharma|Saurabh Agnihotri|Nishi Singh|Suhas Vaidya|Lata Kurdikar|Keshav Rae|Insia Lacewalla|Kishor Patil|Shankar Sachdev|Farida Dadi|Shoaib Ahmed|Dushyant Wagh|A.S. Duggal|Dilshad Edibam|Rajeev Ravindranathan|Hitesh Tak|Rajendra Patwardhan|Madhav Vaze|Dileep Desai|Raghunathan|Vaidyanathan|Kumar Veer Singh|Shailja Dhar|Dinesh Kumar|Apul Jaisinghani|Trilok Sadhwani|Sonu|Jalil Parkar|Debashish Naha|Michael Joseph|Smriti|Sanjay Sood|Dayal Sharma|Elihud George|Sarvanna|Tanveer Ahmed",1
"Aaron Eckhart|Hilary Swank|Delroy Lindo|Stanley Tucci|Tch�ky Karyo|DJ Qualls|Richard Jenkins|Bruce Greenwood|Christopher Shyer|Ray Galletti|Eileen Pedde|Rekha Sharma|Tom Scholte|Glenn Morshower|Anthony Harrison|Alfre Woodard|Fred Keating|Bart Anderson|Nicole Leroux|Justin Callan|Chris Humphreys|Dion Johnstone|Fred Ewanuick|Hrothgar Mathews|Ming-Tzong Hong|Jennifer Spence|Michael St. John Smith|John Shaw|Nickolas Baric|Rosa Di Brigida|Roberto Roberto|Ermanno De Biagi|Marcello Laurentis|Matt Winston|Claire Riley|Marke Driesschen|Laurie Murdoch|Costa Spanos|Monique Martel|Lenie Scoffi�|Nathaniel DeVeaux|Robert Manitopyes|Alejandro Abellan|Benjamin Barton|Angelica Hayden|Robert Paul Lewis|Alec Medlock|Alonso Oyarzun|Priscilla Poland|Shawn Green|Greg Bennett|Jeffrey Gold|Rick Kain|Pamela Martin",1
"Aaron Eckhart|Jennifer Aniston|Judy Greer|Martin Sheen|Deirdre Blades|John Carroll Lynch|Dan Fogler|Sasha Alexander|Frances Conroy|Joe Anderson|Clyde Kusatsu|Anne Marie DeLuise|Tyler McClendon|Panou|Michael Kopsa|Michelle Harrison|Darla Fay|Tom Pickett|Patricia Harras|Maxine Miller|Tim Henry|Ellie Harvie|Randall Newsome|Brandon Jay McLaren|Rekha Sharma|Alessandro Juliani|Elfina Luk",1
"Aaron Eckhart|Liana Liberato|Olga Kurylenko|Garrick Hagon|Eric Godon|Yassine Fadel|Neil Napier|David Bark-Jones|Alexander Fehling|Nick Alachiotis|Ronnie Commissaris|Fabrice Boutique|Debbie Wong|Ron White|Katelijne Verbeke|Alexandre von Sivers|Hassaba Halabi|John Dobrynine|Ben Van Ostade|Maxime Paradis|Brahim Waabach|Carlo Mestroni|Kent McQuaid|Maxime Morin|Simone-Elise Girard|Jade Hassoun�|Sasha Dominique|Richard Robitaille|Danny Blanco Hall|Calista Somwe|Zaire Souchi|Achille Ridolfi|Keir Cutler|Brett Watson|Kate Linder|Claire Jacques|Claire Beugnies|�l�onore Lamothe|Alain Moussi",1
"Aaron Eckhart|Natalija Nogulich|Keir O'Donnell|Catalina Sandino Moreno|Carice van Houten|Matt Nable|Mark Henry|Breanne Hill|Karolina Wydra|Vera Miao|Emily Jackson|Paul Vincent O'Connor|Vanya Asher|M.D. Walton|Tomas Arana|Emjay Anthony|David Mazouz|John Pirruccello|Petra Sprecher|Carlease Burke|Mark Steger|Tim Sitarz|Josue Aguirre",1
"Aaron Eckhart|Ram�n Rodr�guez|Will Rothhaar|Michael Pe�a|Bridget Moynahan|Noel Fisher|Joey King|Beth Keener|Jessica Heap|Cory Hardrict|Jim Parrack|Gino Anthony Pesi|Ne-Yo|James Hiroyuki Liao|Adetokumboh M'Cormack|Bryce Cass|Michelle Rodriguez|Neil Brown Jr.|Taylor Handley|Lucas Till|Kenneth Brown Jr.|Jadin Gould|Joe Chrest|E. Roger Mitchell|Rus Blackwell|Susie Abromeit|Brandi Coleman|David Jensen|Stacey Turner|Tom Hillmann|Lena Clark|Jamie Norwood|Todd Cochran|Nzinga Blake|Taryn Southern|James D. Dever|Alex Aristidis|Charlotte Biggs|Ava Bogle|Grant Case|Kurt Deville|Nick Jones Jr.|Philip Lawrence|Keith Middlebrook|Courtney Munch|Jim Palmer|Michelle Pierce|Michael Wozniak|Marlon Young",1
"Aaron Eckhart|Tommy Lee Jones|Katheryn Winnick|Heather Graham|Raymond Cruz|Brendan Fehr|David Gibson|Nicole Steinwedell|Elizabeth Selby|Heath Hensley|Stephen R. Estler|Celine R. Lopez|Deborah Chavez|Harriet Divine|Ramona King|Moses Munoz",1
"Aaron Eckhart|Yvonne Strahovski|Bill Nighy|Jai Courtney|Miranda Otto|Caitlin Stasey|Penny Higgs|Aden Young|Kevin Grevioux|Deniz Akdeniz|Chris Pang|Virginie Le Brun|Socratis Otto|Steve Mouzakis|Bruce Spence|Mahesh Jadu|John Reynolds|Goran D. Kleut|Chris Anderson|Nicholas Bell|Yasca Sinigaglia|Nicole Downs|Craig Brookshaw|Bryce Hardy|Warwick Sadler|Robbie Clissold|Jack Fieguth|Rick Tonna|Yasushi Asaya|Daniel Westwood",1
"Aaron Kwok|Gong Li|William Feng|Xiao Shenyang|Him Law|Kelly Chen|Fei Xiang|Lu Wei|Giselle Chia|Miya|Miya Muqi|Ngawang Rinchen",1
"Aaron Kwok|Shu Qi|Wu Jing|Zhang Jingchu|Yuen Wah|Collin Chou|Tie Nan|Karen Cheung Bo-Man|Gao Yan-Chao|So Ming-Hei|Ben Wong|Gary Chiu Cheun-Sing|Terence Yin|Chrissie Chau",1
"Aaron Kwok|William Feng|Zhao Liying|Xiao Shenyang|Him Law|Lin Chiling",1
"Aaron Paul|Annabelle Wallis|Garret Dillahunt|Valerie Tian|Zachary Knighton|Terry Chen|Jordana Largy|Chris Chalk|Michael Kopsa|Dean Redman|Jessica Heafey|Artine Brown|Tim Perez|Corey Schmitt|Enver Gjokaj|Serge Jaswal|Alan O'Silva|Alan Silverman",1
"Aaron Paul|Dominic Cooper|Imogen Poots|Ram�n Rodr�guez|Michael Keaton|Rami Malek|Kid Cudi|Dakota Johnson|Harrison Gilbertson|Stevie Ray Dallimore|Alan Pflueger|Brian L. Keaulana|Logan Holladay|Carmela Zumbado|Jalil Jay Lynch|Nick Chinlund|Chad Randall|Buddy Joe Hooker|Rich Rutherford|Tony Brakohiapa|Brent Fletcher|Paul Dallenbach|Kanin Howell|Michael Rose|Beth Waugh|E. Roger Mitchell|Antoni Corone|Frank Brennan|Tara Jones|Han Soto|Jill Jane Clements|Rick Shuster|John Gatins|Kerry Gatins|Adora Dei|Charles Black|Tierre Turner|Michael C. Smith|Tim Gilbert|Mike Massa|John Meier|Thomas Rosales Jr.|Jacki Hill|Chloe Warren|Chelsea Small|Kareem Tristan Alleyne|AnnaCorey|Libby Blake|Lil Cory|Sir Maejor|John Lobato|Cabran E. Chamberlain",1
"Aaron Paul|Emily Ratajkowski|Riccardo Scamarcio|Katy Louise Saunders|Alice Bellagamba|Francesco Acquaroli|Nav Ghotra|Sam Mane|Daphne Alexander|Federico Riccardo Rossi",1
"Aaron Paul|Jesse Plemons|Charles Baker|Matt Jones|Scott MacArthur|Larry Hankin|Scott Shepherd|Tom Bower|Robert Forster|Jonathan Banks|Bryan Cranston|Krysten Ritter|Kevin Rankin|Tess Harper|Michael Bofshever|Marla Gibbs|Brendan Sexton III|Johnny Ortiz|Todd Terry|Julie Pearl|Gloria Sandoval|Carlos Sepulveda|Matthew Van Wettering|Chris Bylsma|David Mattey|Cody Renee Cameron|Gregory Steven Soliz|Danielle Todesco|Simon Drobik|Alison Law|Gabriela Alicia Ortega",1
"Aaron Paul|Mary Elizabeth Winstead|Scoot McNairy|Darcy Fehr|Stefanie Wiens|Charlee Park|Kristen Harris|Jane Wu|Logan Creran|Angela Narth|Steve Pacaud|Aidan Ritchie|Danny Murphy|Steven Ratzlaff",1
"Aaron Poole|Kathleen Munroe|Art Hindle|Daniel Fathers|Kenneth Welsh|Ellen Wong|Stephanie Belding|Mik Byskov|Grace Munro|James Millington|Evan Stern|Trish Rainone|Amy Groening|Matthew Kennedy|Chris Nash|Deke Garner",1
"Aaron Spann|Jeff Bennett|Aria Noelle Curzon|Michael Clarke Duncan|Miriam Flynn|Nika Futterman|John Ingle|Leigh Kelly|Tress MacNeille|Camryn Manheim|Kenneth Mars|Anndi McAfee|Ashley Rose Orr|Cree Summer|Frank Welker|Rob Paulsen",1
"Aaron Stanford|Vinessa Shaw|Emilie de Ravin|Dan Byrd|Kathleen Quinlan|Ted Levine|Tom Bower|Billy Drago|Robert Joy|Desmond Askew|Ezra Buzzington|Michael Bailey Smith|Laura Ortiz|Gregory Nicotero|Maisie Camilleri Preziosi|Maxime Giffard",1
"Aaron Taylor-Johnson|Anne-Marie Duff|Kristin Scott Thomas|David Threlfall|David Morrissey|Thomas Brodie-Sangster|Josh Bolt|Ophelia Lovibond|Andrew Buchan|James Johnson|James Jack Bentham|Jack McElhone|Sam Bell|Colin Tierney|Kerrie Hayes|Paul Ritter|Chris Coghill|Dan Armour|Sam Wilmott|Frazer Bird|Daniel Ross|John Collins|Richard Tate|Richard Syms|Angela Walsh|Simon Lowe|Lizzie Hopley|Angelica Jopling|Baillie Walsh",1
"Aaron Taylor-Johnson|Billy Bob Thornton|Odessa Young|Giovanni Ribisi|Juliette Lewis|Dash Mihok|Charles Parnell|Ryan Hurst|David Dastmalchian|Tom Amandes|Charlie Hunnam|Andy Mackenzie|Eugene Byrd|Andy Buckley|Keith Barber|Albert Malafronte|Carson Meyer|Frederick Lawrence|Deep Rai|Ingrid Rogers|Bill Blair|Logan Devore|Gaia Passaler",1
"Aaron Taylor-Johnson|Chlo� Grace Moretz|Christopher Mintz-Plasse|Jim Carrey|Clark Duke|Garrett M. Brown|Lindy Booth|Iain Glen|Morris Chestnut|Donald Faison|John Leguizamo|Augustus Prew|Robert Emms|Monica Dolan|Steven Mackintosh|Andy Nyman|Daniel Kaluuya|Tom Wu|Olga Kurkulina|Yancy Butler|Claudia Lee|Ella Purnell|Tanya Fear|Benedict Wong|Lyndsy Fonseca|Sophie Wu|Amy Anzel|Matt Steinberg|Trenyce Cobbins|Angelica Jopling|Enzo Cilenti|Wesley Morgan|Dimitri Vantis|Stewart Scudamore|Tom Benedict Knight|Mary Kitchen|Charlie Clapham|Katrina Durden|Anthony J. Mifsud|Vander McLeod|Trevor Allan Davies|Adam Bond",1
"Aaron Taylor-Johnson|Chlo� Grace Moretz|Nicolas Cage|Christopher Mintz-Plasse|Mark Strong|Omari Hardwick|Xander Berkeley|Garrett M. Brown|Clark Duke|Evan Peters|Deborah Twiss|Lyndsy Fonseca|Sophie Wu|Elizabeth McGovern|Stu 'Large' Riley|Michael Rispoli|Corey Johnson|Kenneth Simmons|Anthony Desio|Randall Batinkoff|Dexter Fletcher|Yancy Butler|Craig Ferguson|Jason Flemyng|Adrian Martinez|Joe Bacino|Johnny Hopkins|Ohene Cornelius|Carlos Besse Peres|Russell Bentley|Tamer Hassan|Tim Plester|Hubert Boorder|Christopher McGuire|Max White|Dean Copkov|Jacob Cartwright|Maurice DuBois|Dana Tyler|Omar A. Soriano|Katrena Rochell|Kofi Natei|Dan Duran|Louis Young|Val Jobara|Quinn Smith|Kirk Tingblad|Peter Bartfay|Jason Salkey|Daphne Cheung|Russell De Rozario|Annie Cooper|Adam Blampied|Wayne Curnew|Tangara Jones|Rab Affleck|Alexander Hathaway|Ashleigh Hubbard|Walle Jobara",1
"Aaron Taylor-Johnson|Elizabeth Olsen|Bryan Cranston|Ken Watanabe|Sally Hawkins|Al Sapienza|David Strathairn|James Pizzinato|Juliette Binoche|CJ Adams|Richard T. Jones|Victor Rasuk|Patrick Sabongui|Carson Bolde|Jared Keeso|Luc Roderique|Eric Keenleyside|Primo Allon|George Allen Gumapac Jr.|Ken Yamamura|Garry Chalk|Hiro Kanagawa|Kevan Ohtsji|Kasey Ryne Mazak|Terry Chen|Mas Morimoto|James D. Dever|Akira Takarada|Yuko Kiyama|Takeshi Kurokawa|James Yoshizawa|Jason Furukawa|Brian Markinson|Ty Olsson|Gardiner Millar|Kurt Max Runte|Peter Shinkoda|Bill Marchant|Christian Tessier|Derrick Yamanaka|Peter Kawasaki|Jason Riki Kosuge|Hiroyoshi Kajiyama|Tetsuro Shigematsu|Dean Redman|Taylor Nichols|Anthony Konechny|Jake Cunanan|Yuki Morita|Jill Teed|Eli Goree|Warren Takeuchi|Chuck Church|Dalias Blake|Lane Edwards|Todd Scott|Zoe Krivatsy|Serge M. Krivatsy|Lise Krivatsy|Josh Cowdery|Steven M. Murdzia|Keo Woolford|Lynne Halevi|Martin Kogan|Sandy Ritz|Kyle Riefsnyder|Eric Breker|Jesse Reid|Melody B. Choi|Catherine Lough Haggquist|Aaron Pearl|Amy Fox|Rich Paul|Dee Jay Jackson|Erika Forest|Michael Denis|Taya Clyne|Grayson Maxwell Gurnsey|Justin Blayne Lowery|Toby Levins|Marci T. House|Chris Shields|Zach Martin|Darren Dolynski|P. Lynn Johnson|Antonio Anagaran|Kevin O'Grady|Leif Havdale|Zachary Choe|Michael Rowe|T. J. Storm|Michael Leone|Bill Blair",1
"Aaron Taylor-Johnson|John Cena|Laith Nakli",1
"Abbey Lee|Ciar�n Hinds|Carla Gugino|Matthew Beard|Dylan Baker",1
"Abbi Jacobson|Danny McBride|Maya Rudolph|Olivia Colman|Michael Rianda|Eric Andr�|Fred Armisen|Beck Bennett|Chrissy Teigen|John Legend|Charlyne Yi|Blake Griffin|Conan O'Brien|Melissa Sturm|Doug Nicholas|Ellen Wightman|Sasheer Zamata|Elle Mills|Alex Hirsch|Jay Pharoah|Natalie Canizares|Jeff Rowe|Zeno Robinson|Grey DeLisle|Will Allegra|Alison Rich|Madeleine McGraw|Doug the Pug",1
"Abbi Jacobson|Dave Franco|Charlotte Carel|Madeline Carel|Jane Kaczmarek|Dawan Owens|Tim Matheson|Jen Tullock|Maya Erskine|Heidi Sulzman|Tahmus Rounds|Lisa Berman|Felicia Dupuch|Lindsey Haun|Vesna Saal",1
"Abi Casson Thompson|Jon Callaway|Kate Lush|Shawn C. Phillips",1
"Abigail Breslin|Colt Prattes|Sarah Hyland|Debra Messing|Bruce Greenwood|Katey Sagal|Nicole Scherzinger|Billy Dee Williams|Shane Harper|Casper Smart|Trevor Einhorn|Tony Roberts|Michael Lowry|Jennifer Schemke|J. Quinton Johnson",1
"Abigail Breslin|Dominic Scott Kay|Josh Flitter|Skyler Gisondo|Spencer Fox|Tom Everett Scott|Molly Shannon|Michael Clarke Duncan|Don Knotts|Wallace Shawn|Debra Jo Rupp|Slade Pearce|Holmes Osborne|Trevor Wright|Paul Rae|Christian Pikes|Patrick Cranshaw|Tyler Foden|Serge Houde|Richard Karn|Cynthia Stevenson|Jane Carr|Jarvis Dashkewytch|Dan Joffre|Kelly Chapek|Karen Holness|Gig Morton|Irene Karas|Cascy Beddow",1
"Abigail Breslin|Georgie Henley|Mira Sorvino|Jeffrey Ballard|Zo� Belkin|Jonathan Malen|James Russo|Rusty Schwimmer|Stephan James|Zak Santiago|Caleb Pederson|Braden Pederson|Sarah Constible|Ed Sutton|Robert Huculak|Marina Stephenson Kerr|John Pielmeier|Frank Adamson|Joanne Rodriguez|Fab Filippo|Spencer Breslin|Bryan Young|Candace Smith|Lorraine James|Ali Vivier-Hannay|Chris Sigurdson|Meagan Haber|Adam Till|Judith F. Lyons|Rachael Henley|Laura Henley|Becky Ganczewski",1
"Abigail Breslin|Jodie Foster|Gerard Butler|Michael Carman|Maddison Joyce|Christopher James Baker|Rhonda Doyle|Bryan Probets|Jay Laga'aia|Mark Brady|Anthony Simcoe|Peter Callan|Russell Butler|Colin Gibson|Andrew Nason|Dorothy Thorsen|Penny Everingham|Tony Bellette|Jeff Dornan|John Walton|Morgan Griffin|Dennis Kreusler|Renae Smith Trevino|Alphonso McAuley|Anthony Phelan",1
"Abigail Breslin|Makenzie Vega Norfolk|Irene Olga L�pez|Louis Ferreira|Christine Tucci|Maurice Godin|Ethan Phillips|Fred Ewanuick|Tony Alcantar|Laurie Bekker|Margot Berner|Lindsay Bourne|Chad Cole|Dolores Drake|Irene Karas|Ellen Kennedy|Kathryn Kirkpatrick|Karina MacKenzie|Jamie Payton|Talia Ranger|Cornell Turner|Susie Wall|Scott Watson|Barry Bostwick|Jessica Amlee|Scott Watson|Ian Thompson",1
"Abraham Attah|Idris Elba|Emmanuel Nii Adom Quaye|Opeyemi Fagbohungbe|Emmanuel Affadzi|Richard Pepple|Ama K. Abebrese|Kobina Amissah-Sam|John Arthur|Kurt Egyiawan|Jude Akuwudike|Ricky Adelayitor|Ernest Abbeyquaye|Nana Mensah|Andrew Adote|Francis Weddey|Fred Nii Amugi|Grace Nortey|Emmary Brown|Nataliah Andoh|David Dontoh",1
"Adam Baldwin|Anne Heche|James Marsters|John DiMaggio|Swoosie Kurtz|Tom Kenny|Ray Wise|Cree Summer|Adam Wylie|Chris Cox|Hettie Lynne Hurtes|James Arnold Taylor|Townsend Coleman|Kimberly Brooks|Kevin Smith",1
"Adam Baldwin|Rutger Hauer|Steve Guttenberg|Bryan Brown|C. Thomas Howell|Peter Weller|Alex Kingston|Alexa Hamilton|Clive Mantle|Sylvia Syms|Amber Sainsbury|Rory Copus|Geoff Pierson|Peter Dobson|Nathalie Boltt|Tinarie Van Wyk-Loots|Peter Butler|Matt Rippy|Andrew Brent|Russel Savadier|Jeremy Crutchley|Danny Keogh|Paul Zabriskie|Marshall Manesh|Max Daniels|Sven Holmberg|Marlon John|Kevin Otto|Michael Whaley|Parry Shen|Dale Abrahams|Eve Szapira|Katie Farringer|Farouk Valley-Omar|Adrian Galley|Shane Manie|Verity Price|Dumisani Mbebe|Andre Weideman|Riaz Solker|Caroline Rix|Sean Higgs|Neels Van Jaarsveld|Andr� Jacobs|Jenny Stead|Anthony Bradshaw|Lynita Crofford|Morn� Visser",1
"Adam Brody|Sophie N�lisse|Tzi Ma|Peter MacNeill|Maurice Dean Wint|Jonathan Whittaker|Wendy Crewson|Sarah Sutherland|Kaitlyn Chalmers-Rizzato|Kaleb Horn|Brent Skagford|Steve Gagne|Giovanna Moore|Jesse Noah Gruman|Talyssa Therrien|Olivia Williams|Carter Kowal|Griffin Wardle|Jake Bell-Webster|Barbara Rajnovich|Alan Catlin|Kira Gelineau|David Rosser|Madalyn Martin|Bruce McFee|Deborah Tennant|Avery Esteves|Marlaina Andre|Kevin Hoffman|Isaac Kragten|Dallas Edwards|Marcus Zane|Oakley Foers|Gabriel Campoverde|Wayne St-George|Tyler Duke|Sharon Crandall|Amanda Westington|Amalia Williamson|Audrey Dymond|Marcia Bennett|Tracy Rowland|Sophia Webster|Alicia Brand|Lian McLean-Smits|Bethanie Ho|Devin Myler|Vanessa Tignanelli|Lisa Truong",1
"Adam Butcher|Shane Kippel|Mateo Morales|Taylor Poulin|Slim Twig|Dewshane Williams|Lawrence Bayne|Trent McMullen|Jeff McEnery|Bryan Murphy|Michael Morang|Clayton Joseph|Alexander Conti|William Christopher Ellis|Michael States Jr.|Robbie O'Neill",1
"Adam Carolla|Abbey DiGregorio|Jess Harnell|Jack Plotnick|Tara Strong|Cree Summer|James Arnold Taylor|Seth MacFarlane|Vernon Wells|Kaitlyn Robrock|Dave Jeser|Matt Silverstein",1
"Adam Copeland|Kelsey Grammer|Thomas Jane|Denise Richards|Katrina Norman|Patrick Lamont Jr.|Andrew Lawrence|Joey Lawrence|Matthew Lawrence|Al Sapienza|Aleksander Vayshelboym|Jolene Kim|Candi Brooks|Tom DeNucci|Bryan McClure",1
"Adam DeVine|Alexandra Daddario|Shelley Hennig|Andrew Bachelor|Robbie Amell|Dean J. West|Tony Cavalero|Delfeayo Marsalis|Daryn Kahn|Peter Jaymes Jr.|Martin Bats Bradford|Noureen DeWulf|Chelsea Bruland|Adam Henslee|Tenea Intriago|Kyler Porche|Bertha Bindewald|Talbott Lin|Audrey Bishop|Bill Rainey|Michael Scott|Bryan Michael Hall|Chris Wylde",1
